anio	trimestre	aglomerado_origen	localidad_destino	viajantes
2015	2	Paraná	Sauce Viejo	3512
2015	2	Paraná	Victoria	22935
2015	2	Paraná	Villa Carlos Paz	1457
2015	3	Concordia	Cañadón Seco	508
2015	3	Concordia	Chajarí	5888
2015	3	Concordia	Ciudad de Buenos Aires	514
2015	3	Concordia	Colón	2126
2015	3	Concordia	Corrientes	9976
2015	3	Concordia	Federación	624
2015	3	Concordia	Ituzaingó	297
2015	3	Concordia	Libertador San Martín	13988
2015	3	Concordia	Paraná	278
2015	3	Concordia	Puerto Iguazú	558
2015	3	Concordia	Puerto Yeruá	13422
2015	3	Concordia	Puíggari	512
2015	3	Concordia	Resistencia	7460
2015	3	Concordia	San Justo	20825
2015	3	Concordia	San Miguel de Tucumán	546
2015	3	Concordia	Tandil	278
2015	3	Concordia	Termas de Río Hondo	508
2015	3	Concordia	Villaguay	644
2015	3	Paraná	Aldea Valle María	18524
2015	3	Paraná	Caucete	1280
2015	3	Paraná	Cerrito	2334
2015	3	Paraná	Ciudad de Buenos Aires	12437
2015	3	Paraná	Concordia	1231
2015	3	Paraná	Corrientes	2801
2015	3	Paraná	Crespo	592
